Male,Female,Image,Name,ImagePriming,NamePriming,ImageTrig,NameTrig,Trig,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,priming.thisRepN,priming.thisTrialN,priming.thisN,priming.thisIndex,thisRow.t,notes,training_Instruction.started,instruction_slide.started,instruction_continue.started,training_Instruction.stopped,instruction_continue.keys,instruction_continue.rt,instruction_continue.duration,training_block.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,priming_instruction.started,instruction_slide_2.started,instruction_continue_2.started,priming_instruction.stopped,instruction_continue_2.keys,instruction_continue_2.rt,instruction_continue_2.duration,priming_block.started,MAN_3.started,MAN_3_desc.started,WOMAN_3.started,name_2.started,key_resp_3.started,priming_block.stopped,priming.key_resp_3.keys,priming.key_resp_3.rt,priming.key_resp_3.duration,pic_2.started,name_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07529109995812178,0.09130279999226332,0.09130279999226332,0.9441744999494404,space,0.842239800025709,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,0,0,0,j,0.37689710000995547,None,,,,0,0,0,0,,,,,0.974630199954845,,,,,,,,,0.965955900028348,0.974630199954845,0.974630199954845,0.974630199954845,0.974630199954845,1.3582432999974117,j,0.37689710000995547,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,1,1,1,k,0.09536760009359568,None,,,,1,1,1,0,,,,,1.3914351999992505,,,,,,,,,1.3711758999852464,1.3914351999992505,1.3914351999992505,1.3914351999992505,1.3914351999992505,1.4915960000362247,k,0.09536760009359568,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,2,2,0,j,0.0595958000048995,None,,,,0,2,2,1,,,,,1.5248447000049055,,,,,,,,,1.504834600025788,1.5248447000049055,1.5248447000049055,1.5248447000049055,1.5248447000049055,1.5915673000272363,j,0.0595958000048995,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,3,3,2,k,0.04907950002234429,None,,,,2,3,3,0,,,,,1.624824499944225,,,,,,,,,1.604959600022994,1.624824499944225,1.624824499944225,1.624824499944225,1.624824499944225,1.6749133999692276,k,0.04907950002234429,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,4,4,3,j,0.04101560008712113,None,,,,3,4,4,0,,,,,1.7080038000131026,,,,,,,,,1.6881822999566793,1.7080038000131026,1.7080038000131026,1.7080038000131026,1.7080038000131026,1.7582224999787286,j,0.04101560008712113,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,5,5,4,k,0.062842300045304,None,,,,4,5,5,0,,,,,1.7913323999382555,,,,,,,,,1.7714983000187203,1.7913323999382555,1.7913323999382555,1.7913323999382555,1.7913323999382555,1.85826080001425,k,0.062842300045304,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,6,6,1,j,0.037935800035484135,None,,,,1,6,6,1,,,,,1.891312099993229,,,,,,,,,1.8717570999870077,1.891312099993229,1.891312099993229,1.891312099993229,1.891312099993229,1.9415503999916837,j,0.037935800035484135,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,7,7,2,j,0.0895180000225082,None,,,,2,7,7,1,,,,,1.9747065999545157,,,,,,,,,1.955057599931024,1.9747065999545157,1.9747065999545157,1.9747065999545157,1.9747065999545157,2.0750875000376254,j,0.0895180000225082,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,8,8,5,j,0.08405569999013096,None,,,,5,8,8,0,,,,,2.1079784999601543,,,,,,,,,2.088502599974163,2.1079784999601543,2.1079784999601543,2.1079784999601543,2.1079784999601543,2.2083939999574795,j,0.08405569999013096,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,9,9,6,j,0.06307889998424798,None,,,,6,9,9,0,,,,,2.2412704000016674,,,,,,,,,2.221769099938683,2.2412704000016674,2.2412704000016674,2.2412704000016674,2.2412704000016674,2.308181499945931,j,0.06307889998424798,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,10,10,3,k,0.08931900002062321,None,,,,3,10,10,1,,,,,2.3423087999690324,,,,,,,,,2.324587299954146,2.3423087999690324,2.3423087999690324,2.3423087999690324,2.3423087999690324,2.4422411000123248,k,0.08931900002062321,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,11,11,4,k,0.11402530001942068,None,,,,4,11,11,1,,,,,2.4750679000280797,,,,,,,,,2.455519799957983,2.4750679000280797,2.4750679000280797,2.4750679000280797,2.4750679000280797,2.5915372000308707,k,0.11402530001942068,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,12,12,7,k,0.08426979999057949,None,,,,7,12,12,0,,,,,2.6247814999660477,,,,,,,,,2.6044505999889225,2.6247814999660477,2.6247814999660477,2.6247814999660477,2.6247814999660477,2.725034000002779,k,0.08426979999057949,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,13,13,5,k,0.07096000004094094,None,,,,5,13,13,1,,,,,2.7579664000077173,,,,,,,,,2.7383853000355884,2.7579664000077173,2.7579664000077173,2.7579664000077173,2.7579664000077173,2.8430895999772474,k,0.07096000004094094,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,14,14,8,k,0.04423510003834963,None,,,,8,14,14,0,,,,,2.8747630999423563,,,,,,,,,2.857137899962254,2.8747630999423563,2.8747630999423563,2.8747630999423563,2.8747630999423563,2.925186999957077,k,0.04423510003834963,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,15,15,6,k,0.06534019997343421,None,,,,6,15,15,1,,,,,2.958358500036411,,,,,,,,,2.9383956999517977,2.958358500036411,2.958358500036411,2.958358500036411,2.958358500036411,3.025259800022468,k,0.06534019997343421,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,16,16,9,j,0.25092969997785985,None,,,,9,16,16,0,,,,,3.0583065999671817,,,,,,,,,3.0383514999412,3.0583065999671817,3.0583065999671817,3.0583065999671817,3.0583065999671817,3.325797599973157,j,0.25092969997785985,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,17,17,10,j,0.1082454000134021,None,,,,10,17,17,0,,,,,3.358336200006306,,,,,,,,,3.338860600022599,3.358336200006306,3.358336200006306,3.358336200006306,3.358336200006306,3.4767967000370845,j,0.1082454000134021,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,18,18,7,j,0.046591199934482574,None,,,,7,18,18,1,,,,,3.524975399952382,,,,,,,,,3.489603199996054,3.524975399952382,3.524975399952382,3.524975399952382,3.524975399952382,3.5918153999373317,j,0.046591199934482574,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,19,19,11,j,0.0670747000258416,None,,,,11,19,19,0,,,,,3.624943200033158,,,,,,,,,3.605784700019285,3.624943200033158,3.624943200033158,3.624943200033158,3.624943200033158,3.7091985000297427,j,0.0670747000258416,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,20,20,12,j,0.0763814999954775,None,,,,12,20,20,0,,,,,3.742561599938199,,,,,,,,,3.722370099974796,3.742561599938199,3.742561599938199,3.742561599938199,3.742561599938199,3.8249475000193343,j,0.0763814999954775,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,21,21,8,j,0.08811619994230568,None,,,,8,21,21,1,,,,,3.8583528000162914,,,,,,,,,3.83844229998067,3.8583528000162914,3.8583528000162914,3.8583528000162914,3.8583528000162914,3.9586175000295043,j,0.08811619994230568,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,22,22,9,k,0.20289209997281432,None,,,,9,22,22,1,,,,,3.991533000022173,,,,,,,,,3.9716970999725163,3.991533000022173,3.991533000022173,3.991533000022173,3.991533000022173,4.208245599991642,k,0.20289209997281432,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,23,23,10,k,0.16278910008259118,None,,,,10,23,23,1,,,,,4.241288700024597,,,,,,,,,4.221599999931641,4.241288700024597,4.241288700024597,4.241288700024597,4.241288700024597,4.409882499952801,k,0.16278910008259118,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,24,24,11,k,0.13363389996811748,None,,,,11,24,24,1,,,,,4.458209599950351,,,,,,,,,4.42308590002358,4.458209599950351,4.458209599950351,4.458209599950351,4.458209599950351,4.609599699964747,k,0.13363389996811748,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,25,25,12,k,0.0757109000114724,None,,,,12,25,25,1,,,,,4.658242400037125,,,,,,,,,4.623522400041111,4.658242400037125,4.658242400037125,4.658242400037125,4.658242400037125,4.758843999938108,k,0.0757109000114724,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,26,26,13,k,0.08532589999958873,None,,,,13,26,26,1,,,,,4.791454099933617,,,,,,,,,4.771920099970885,4.791454099933617,4.791454099933617,4.791454099933617,4.791454099933617,4.89169049996417,k,0.08532589999958873,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,27,27,14,j,0.13148929993622005,None,,,,14,27,27,1,,,,,4.924943899968639,,,,,,,,,4.905147399986163,4.924943899968639,4.924943899968639,4.924943899968639,4.924943899968639,5.058622100041248,j,0.13148929993622005,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,28,28,13,j,0.14491299993824214,None,,,,13,28,28,0,,,,,5.091498999972828,,,,,,,,,5.071808299981058,5.091498999972828,5.091498999972828,5.091498999972828,5.091498999972828,5.241550200036727,j,0.14491299993824214,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,29,29,14,j,0.09697010007221252,None,,,,14,29,29,0,,,,,5.2747698000166565,,,,,,,,,5.254746999940835,5.2747698000166565,5.2747698000166565,5.2747698000166565,5.2747698000166565,5.375047900015488,j,0.09697010007221252,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,30,30,15,j,0.09106100001372397,None,,,,15,30,30,1,,,,,5.407991599990055,,,,,,,,,5.388860699953511,5.407991599990055,5.407991599990055,5.407991599990055,5.407991599990055,5.509865100029856,j,0.09106100001372397,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,31,31,15,j,0.08374400006141514,None,,,,15,31,31,0,,,,,5.542767999926582,,,,,,,,,5.522702899994329,5.542767999926582,5.542767999926582,5.542767999926582,5.542767999926582,5.658554699970409,j,0.08374400006141514,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,32,32,16,k,0.12213450006674975,None,,,,16,32,32,1,,,,,5.69210500002373,,,,,,,,,5.6723168999888,5.69210500002373,5.69210500002373,5.69210500002373,5.69210500002373,5.825044799945317,k,0.12213450006674975,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,33,33,16,k,0.12828679999802262,None,,,,16,33,33,0,,,,,5.858307000016794,,,,,,,,,5.8381619999418035,5.858307000016794,5.858307000016794,5.858307000016794,5.858307000016794,5.991697399993427,k,0.12828679999802262,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,34,34,17,k,0.10342529998160899,None,,,,17,34,34,1,,,,,6.025247799931094,,,,,,,,,6.004813999985345,6.025247799931094,6.025247799931094,6.025247799931094,6.025247799931094,6.141552299959585,k,0.10342529998160899,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,35,35,17,j,0.05916960001923144,None,,,,17,35,35,0,,,,,6.174767000018619,,,,,,,,,6.154785500024445,6.174767000018619,6.174767000018619,6.174767000018619,6.174767000018619,6.241537799942307,j,0.05916960001923144,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,36,36,18,k,0.1244789999909699,None,,,,18,36,36,1,,,,,6.2747961999848485,,,,,,,,,6.255098199937493,6.2747961999848485,6.2747961999848485,6.2747961999848485,6.2747961999848485,6.408200699952431,k,0.1244789999909699,None,,,,,,,,,,,,,,,,,,,,054347,001,2025-09-26_05h54.55.876,Priming_gender,,2025.1.1,60.04397619351874,2025-09-26 05h54.58.819503 +0700,
